상권_코드_명,상권_코드,기준 년 코드,기준_분기_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
공릉로58길,1000378,2017.6129032258063,2.5483870967741935,3722134.9677419355,7.612903225806452,3834700523.16129,1040986485.6451613,461966482.483871,263748816.51612905,507519597.3548387,594453844.3548387,134859794.80645162,115922096.51612903,551801645.032258,163441760.4516129
공원로6가길,1000625,2017.6129032258063,2.5483870967741935,3582189.9032258065,7.193548387096774,7735199572.451612,1920137054.935484,954254539.1290323,595612383.967742,947684494.7741935,1311263405.6451614,335794690.6451613,226327099.70967743,1121369632.8064516,322756270.83870965
공항대로38길,1000574,2017.6129032258063,2.5483870967741935,4863117.193548387,8.612903225806452,3741875633.419355,897827657.2580645,452078499.9032258,260974852.12903225,445833315.0645161,645602326.7741935,136455256.61290324,105445200.48387097,637418900.7419355,160239624.4516129
공항대로42길,1000575,2017.6129032258063,2.5483870967741935,3740979.290322581,7.612903225806452,5134312920.290322,1245663991.387097,626750756.9032258,363552670.0322581,622088402.0,881629971.4193548,197286766.93548387,144893748.03225806,832883906.8709677,219562706.70967743
공항대로55길,1000576,2017.6129032258063,2.5483870967741935,3591540.3870967743,7.612903225806452,7610242587.5161295,1936651885.903226,923049441.2258065,548234403.6129032,939689868.7419355,1244257981.419355,305172300.12903225,224942075.3548387,1176596676.064516,311647955.0645161
공항대로59길,1000577,2017.6129032258063,2.5483870967741935,3787157.709677419,7.612903225806452,10036555618.67742,2470741916.83871,1220715367.483871,723707777.3225807,1204537913.2580645,1676524353.419355,407621586.0967742,290429963.7419355,1628348011.7419355,413928728.7741935
공항대로59다길,1000578,2017.6129032258063,2.5483870967741935,4329619.870967742,8.0,10623714435.709677,2609258368.483871,1288009634.516129,746936556.483871,1279521821.2258065,1784897237.903226,413852059.0,302364573.3548387,1754141932.064516,444732252.67741936
공항대로61길,1000579,2017.6129032258063,2.5483870967741935,3995315.580645161,7.612903225806452,9311402856.741936,2292397597.612903,1132536725.8709676,668793680.6129032,1120175500.6451614,1555481792.7741935,376173161.1935484,268168279.83870968,1512292874.7419355,385383243.4516129
공항대로8길,1000580,2017.6129032258063,2.5483870967741935,2999753.3225806453,6.774193548387097,5683387442.4838705,1568912507.548387,683891075.516129,422444099.61290324,746429519.5806452,908899792.0645162,196370099.32258064,185312191.0967742,728642497.1935484,242485660.5483871
관악로10길,1000780,2017.6129032258063,2.5483870967741935,3242459.6774193547,6.935483870967742,7605346847.83871,1904943680.6774194,994329937.0645162,597944142.6774193,908813612.3225807,1143144881.935484,309223715.0,275811927.0967742,1109542617.967742,361592333.0967742
관악로14길,1000781,2017.6129032258063,2.5483870967741935,3144282.2258064514,6.935483870967742,8749173965.774193,2212798253.967742,1144125419.516129,695762006.6774193,1049108509.2903225,1309800273.8064516,349509434.516129,322183081.58064514,1246870672.8387096,419016313.58064514
관악로28길,1000782,2017.6129032258063,2.5483870967741935,3495192.8387096776,7.258064516129032,7951066577.129032,2150929994.903226,955079408.1612903,578718268.6129032,1037889025.6451613,1278763433.451613,281588624.0,248693851.51612905,1080422905.935484,338981064.9032258
관악로30길,1000783,2017.6129032258063,2.5483870967741935,3820213.3225806453,7.612903225806452,9091914610.967741,2455232399.83871,1079420072.903226,642044342.967742,1188288746.0,1453099345.7741935,319209103.67741936,276917130.0322581,1297188189.6451614,380515280.12903225
관천로15길,1000784,2017.6129032258063,2.5483870967741935,2790041.290322581,6.258064516129032,10990741873.225807,3011434112.0,1358984560.7096775,873236580.3225807,1367155981.6774194,1710260845.580645,392910337.58064514,385758330.7741935,1401601845.6451614,489399278.9354839
관천로22길,1000785,2017.6129032258063,2.5483870967741935,3322172.290322581,6.806451612903226,11241199626.580645,2911435626.677419,1423578079.612903,936934939.451613,1339874672.935484,1813192042.8064516,455481337.0322581,393080112.2258065,1463656640.8064516,503966175.0322581
광나루로12길,1000127,2017.6129032258063,2.5483870967741935,2971834.064516129,6.612903225806452,7165900150.032258,1743761658.612903,961580136.9354838,544037551.451613,858823318.9032258,1001961324.2580645,281543690.58064514,273533979.2258065,1139397000.7741935,361261489.2903226
광나루로24길,1000128,2017.6129032258063,2.5483870967741935,2714149.419354839,6.161290322580645,3538019980.483871,778485119.1935484,505532010.6451613,252436428.32258064,403913478.1935484,431888163.1935484,144248040.70967743,147786498.70967743,677001790.032258,196728451.48387095
광나루로36길,1000129,2017.6129032258063,2.5483870967741935,2962568.0322580645,6.516129032258065,7627316169.451612,2052138631.967742,937054259.7096775,584535784.2903225,983220772.0,1262327972.2903225,279398056.3548387,246796230.32258064,946726123.7741935,335118338.7419355
광나루로37길,1000130,2017.6129032258063,2.5483870967741935,2905702.129032258,6.451612903225806,5977460875.387096,1566246994.032258,729670553.9032258,442997493.7096774,764988156.7741935,1002727811.8387097,221083229.83870968,184911431.0967742,806603057.3225807,258232146.87096775
광나루로40길,1000131,2017.6129032258063,2.5483870967741935,3115677.870967742,6.612903225806452,9410649246.935484,2532424733.645161,1152129882.8387096,714784579.032258,1212081079.2258065,1544712703.483871,347183224.58064514,303240186.12903225,1196668993.935484,407423864.0645161
