abbr_last,상권업종대분류코드,상권업종대분류명,상가업소번호,상호명,지점명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,abbr
가마산로77길,D,소매,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1
가마산로79길,D,소매,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,0,7,3,7,7,7,4,2,0,7,7,7
가마산로7길,D,소매,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1
가마산로88길,D,소매,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1
가마산로90길,D,소매,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,0,2,2,2,0,2,0,2,2,2
가마산로9길,D,소매,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,1,3,3,3,1,0,0,3,3,3
가산디지털1로,D,소매,255,255,42,255,255,255,255,244,244,255,255,255,255,255,255,255,255,255,255,255,255,206,255,255,255,255,17,255,223,255,255,255,46,131,0,255,255,255
가산디지털2로,D,소매,132,132,17,132,132,132,132,131,131,132,132,132,132,132,132,132,132,132,132,132,132,119,132,132,132,132,12,132,106,132,132,132,16,60,0,132,132,132
가산로,D,소매,50,50,5,50,50,50,50,48,48,50,50,50,50,50,50,50,50,50,50,50,50,43,50,50,50,50,3,50,12,50,50,50,6,34,0,50,50,50
가산로3가길,D,소매,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1
가산로3길,D,소매,20,20,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,5,20,20,20,2,11,0,20,20,20
가산로5길,D,소매,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,1,7,7,7,1,6,0,7,7,7
가산로7길,D,소매,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,6,6,0,5,0,6,6,6
